Datetime,Location Name,Tsu,Vol,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description
1900-01-11 09:07:00,JAPAN:  SEA OF JAPAN,False,False,36.5,133.5,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,
1901-06-24 07:02:00,JAPAN:  RYUKYU ISLANDS,True,False,27.0,130.0,60.0,7.9,,,,,,,,,,,,,,,,,,,,,1.0,,,,
1901-08-09 09:23:00,JAPAN:  OFF NORTHEAST COAST HONSHU,True,False,40.5,142.5,33.0,7.9,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,
1901-08-09 18:33:00,JAPAN:  OFF NORTHEAST COAST HONSHU,True,False,40.6,142.3,33.0,8.2,,18.0,1.0,,,,,,2.0,8.0,1.0,,,18.0,1.0,,,,,,2.0,8.0,1.0,,
1901-08-09 20:00:00,JAPAN:  OFF NORTHEAST COAST HONSHU,True,False,40.5,142.5,33.0,6.3,,,,,,,,,,,,,,,,,,,,,,,,,
1904-03-18 13:42:00,JAPAN:  HOKKAIDO,False,False,42.5,145.8,40.0,7.6,10.0,,,,,,,,1.0,,,,,,,,,,,,,,,,
1904-06-07 08:17:00,JAPAN:  SEA OF JAPAN,False,False,40.0,134.0,350.0,7.9,,,,,,,,,,,,,,,,,,,,,,,,,
1904-08-24 20:59:00,JAPAN:  KYUSHU,False,False,30.0,130.0,25.0,7.9,,,,,,,,,,,,,,,,,,,,,,,,,
1905-06-02 05:39:00,JAPAN:  AKI,False,False,34.0,132.0,100.0,7.8,,11.0,1.0,,,,,,1.0,59.0,2.0,59.0,2.0,11.0,1.0,,,,,,1.0,59.0,2.0,,
1905-07-06 16:21:00,JAPAN:  OFF FUKUSHIMA,True,False,37.4,142.6,33.0,7.0,,,,,,,,,,,,,,57.0,2.0,,,,,,,,,,
