Datetime,Location Name,Tsu,Vol,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description
1900-01-20 06:33:00,MEXICO,False,False,20.0,-105.0,10.0,7.4,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,
1900-05-16 20:12:00,MEXICO:  NEAR COAST OF JALISCO,False,False,20.0,-105.0,60.0,7.8,,,,,,,,,,,,,,,,,,,,,,,,,
1902-01-16 00:00:00,MEXICO:  GUERRERO,False,False,17.6,-99.7,,7.0,,2.0,1.0,,,,,,2.0,,,,,2.0,1.0,,,2.0,1.0,,2.0,,,,
1902-09-23 20:18:00,"MEXICO:  VENUSTIANO CARRANZA,CHIAPAS,CHIS,TABASCO",False,False,16.6,-92.6,100.0,7.8,,,,,,,,,3.0,,,,,,,,,,,,3.0,,,,
1902-12-12 23:10:00,MEXICO:  BAJA CALIFORNIA,False,False,29.0,-114.0,60.0,7.8,,,,,,,,,,,,,,,,,,,,,,,,,
1903-01-14 01:47:00,MEXICO:  OFF COAST OF GUERRERO,False,False,15.0,-98.0,33.0,7.7,,,,,,,,,,,,,,,,,,,,,,,,,
1903-07-16 00:00:00,MEXICO:  ACAPULCO,True,False,16.7,-99.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1905-05-09 00:00:00,MEXICO:  JALISCO,False,False,20.3,-103.4,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
1906-04-10 21:22:00,MEXICO:  REVILLA GIGEDO ISLANDS,False,False,19.0,-113.8,60.0,7.5,,,,,,,,,,,,,,,,,,,,,,,,,
1907-04-15 06:08:00,MEXICO:  GUERRERO,True,False,17.0,-100.0,60.0,8.3,,8.0,1.0,,,,,,2.0,,3.0,,,8.0,1.0,,,,,,2.0,,3.0,,
1907-10-16 14:57:00,MEXICO:  GULF OF CALIFORNIA,False,False,28.0,-112.5,60.0,7.7,,,,,,,,,,,,,,,,,,,,,,,,,
1908-03-26 23:03:00,MEXICO:  GUERRERO,False,False,18.0,-99.0,80.0,8.1,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,
