Datetime,Location Name,Tsu,Vol,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description
1900-10-09 12:25:00,ALASKA:  KODIAK ISLAND,False,False,57.09,-153.48,,8.3,8.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,
1901-03-03 07:45:00,CALIFORNIA:  SAN DIEGO,True,False,36.0,-120.5,,6.4,8.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,
1901-12-31 09:02:00,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,True,False,51.45,-171.02,,7.8,,,,,,,,,1.0,,,,,,,,,,,,,,,,
1902-01-01 05:20:00,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,False,False,52.4,-167.5,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,
1903-06-02 13:17:00,ALASKA:  SOUTHWEST,False,False,61.56,-158.54,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,
1904-08-27 21:56:00,ALASKA:  RAMPART,False,False,64.66,-148.08,,8.3,6.0,,,,,,,,,,,,,,,,,,,,,,,,
1905-02-14 08:46:00,ALASKA:  ANDREANOF ISLANDS,False,False,50.73,-178.55,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,
1906-04-18 13:12:00,CALIFORNIA:  SAN FRANCISCO,True,False,37.67,-122.48,20.0,7.9,11.0,700.0,3.0,,,,,400.0,4.0,28188.0,4.0,,,,,,,,,,,,,,
1906-08-17 00:11:00,ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS,False,False,51.853,178.18,110.0,8.3,,,,,,,,,,,,,,,,,,,,,,,,,
1906-12-23 17:22:00,ALASKA:  ALEUTIAN ISLANDS,False,False,56.85,-153.9,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,
1907-09-02 16:01:00,ALASKA:  ALEUTIAN ISLANDS,False,False,52.59,-169.73,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,
1907-09-24 12:59:00,ALASKA:  SKAGWAY,True,False,59.5,-135.5,,5.5,5.0,,,,,,,,,,,,,,,,,,,,,,,,
1908-02-14 11:25:00,ALASKA:  GULF OF ALASKA,True,False,61.0,-146.2,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
